lf2_over_Sfs,xm_over_lf,sqrt_h1_over_h2,h_over_wf,construction_y,construction_p,kn,outside_digitized_chart
3.0,0.2,1.4,1.0,2.9672197640118,1.2220796250372405,0.0028546857127271677,False
3.0,0.2,1.4,2.0,2.9672197640118,1.2220796250372405,0.003318844962801649,False
3.0,0.2,1.6,0.5,2.9672197640118,1.2896402250844554,0.001350992630236475,False
3.0,0.2,1.6,0.6,2.9672197640118,1.2896402250844554,0.0018027048103040394,False
3.0,0.2,1.6,0.8,2.9672197640118,1.2896402250844554,0.0025682011254222767,False
3.0,0.2,1.6,1.0,2.9672197640118,1.2896402250844554,0.003266805373015178,False
3.0,0.2,1.6,2.0,2.9672197640118,1.2896402250844554,0.0038660858231840886,False
3.0,0.3,0.8,0.5,3.2944473708854245,1.0727191532189921,0.0007690697983693794,False
3.0,0.3,0.8,0.6,3.2944473708854245,1.0727191532189921,0.001059973205622674,False
3.0,0.3,0.8,0.8,3.2944473708854245,1.0727191532189921,0.0014835957660949604,False
3.0,0.3,0.8,1.0,3.2944473708854245,1.0727191532189921,0.00190813066527965,False
3.0,0.3,0.8,2.0,3.2944473708854245,1.0727191532189921,0.0022363059878548436,False
3.0,0.3,1.0,0.5,3.2944473708854245,1.1321015494844178,0.0009234640286594862,False
3.0,0.3,1.0,0.6,3.2944473708854245,1.1321015494844178,0.0012559351132985785,False
3.0,0.3,1.0,0.8,3.2944473708854245,1.1321015494844178,0.0017805077474220886,False
3.0,0.3,1.0,1.0,3.2944473708854245,1.1321015494844178,0.002285449916700273,False
3.0,0.3,1.0,2.0,3.2944473708854245,1.1321015494844178,0.002657921001339366,False
3.0,0.3,1.2,0.5,3.2944473708854245,1.1998115741365807,0.00109951009275511,False
3.0,0.3,1.2,0.6,3.2944473708854245,1.1998115741365807,0.0014793781946507165,False
3.0,0.3,1.2,0.8,3.2944473708854245,1.1998115741365807,0.0021190578706829035,False
3.0,0.3,1.2,1.0,3.2944473708854245,1.1998115741365807,0.002718794074474117,False
3.0,0.3,1.2,2.0,3.2944473708854245,1.1998115741365807,0.003138662176369723,False
3.0,0.3,1.4,0.5,3.2944473708854245,1.2686269375370447,0.0012921554251037251,False
3.0,0.3,1.4,0.6,3.2944473708854245,1.2686269375370447,0.0017270569751333608,False
3.0,0.3,1.4,0.8,3.2944473708854245,1.2686269375370447,0.0024631346876852235,False
3.0,0.3,1.4,1.0,3.2944473708854245,1.2686269375370447,0.003138624318975973,False
3.0,0.3,1.4,2.0,3.2944473708854245,1.2686269375370447,0.003695878194050062,False
3.0,0.3,1.6,0.5,3.2944473708854245,1.3436381800140964,0.0015109145400422892,False
3.0,0.3,1.6,0.6,3.2944473708854245,1.3436381800140964,0.002014552720056386,False
